"BC_HKB2119_1690_T"	"HKB0036_3006_T"	"HKB0092_3000_T"	"HKB0143_3006_T"	"HKB0211_3002_T"	"HKB0233_3006_T"	"BC_HKB0662_1294_T"	"BC_HKB0913_1654_T"	"HKB0004_3006_T"	"HKB0125_3006_T"	"HKB0160_3000_T"	"BC_HKB0075_849_T"	"BC_HKB0187_1214_T"	"BC_HKB0199_1263_T"	"BC_HKB0561_1308_T"	"BC_HKB0588_M1349_T"	"BC_HKB0668_1298_T"	"BC_HKB0689_M1326_T"	"BC_HKB0754_1481_T"	"BC_HKB0759_1488_T"	"BC_HKB0761_1499_T"	"BC_HKB0772_1460_T"	"BC_HKB0833_1552_T"	"BC_HKB0876_1543_T"	"BC_HKB0895_1582_T"	"BC_HKB0921_1575_T"	"BC_HKB0922_1579_T"	"BC_HKB0923_1584_T"	"BC_HKB1384_1734_T"	"BC_HKB2109_1628_T"	"BC_HKB2123_1695_T"	"HKB0044_3006_T"	"HKB0089_3001_T"	"HKB0106_3006_T"	"HKB0162_3006_T"	"HKB0668_3000_T"	"HKB0692_3000_T"	"BC_HKB0056_809_T"	"BC_HKB0555_1321_T"	"BC_HKB0728_1447_T"	"BC_HKB0733_1459_T"	"BC_HKB0775_1470_T"	"BC_HKB0838_1563_T"	"BC_HKB1372_1697_T"	"BC_HKB2113_1657_T"	"HKB0065_3006_T"	"HKB0086_3006_T"	"HKB0157_3006_T"	"HKB0208_3006_T"	"HKB0210_3006_T"	"HKB0677_3000_T"
"CLEC1B"	0	0	0	0	1.54596836910529	0	0	0	0	0	0	0	0	0	0	0	0	1.83995958748953	0	1.43829285157915	0	1.53605290024021	0	1.6507645591169	1.34482849699744	0	0	0	0	0	0	0	0	0.070389327891398	0	0.150559676575381	0	0	0	0	0	1.51096191927738	0	0	0	0	0	0	0	0	0
"PREB"	2.33913738491959	5.0639343057541	5.21256933885081	4.82323984413102	4.77820857639809	5.05441438791731	3.93828579188405	3.73335434061383	5.03474394932473	5.2460279805281	4.73335434061383	4.07382023329167	4.08065766334523	3.68257329734758	3.5197934862411	1.76128527336162	3.74308405554959	3.62760683812965	4.854993016757	4.23266075679027	3.96809075204526	3.38543103719352	2.8011586560937	4.49825086752783	3.67355642399014	3.33628338786443	4.07124781946144	3.55213110825378	3.97544676564096	4.26903314645524	3.39917109381982	5.63546419816788	5.37573453858316	4.762880292917	5.43929068104202	5.0639343057541	5.51822038059959	3.7311832415722	2.61353165291793	4.26903314645524	4.10097764772482	2.39231742277876	4.09000652990382	1.84799690655495	3.68032435684402	6.02170180007169	4.97407036702403	4.67525138605026	5.07424852334703	4.46401472450489	5.40837220357268
"HBZ"	0	0	0	0	0	0	0	0	0	0	0.879705766282288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	2.05658352836637	0.0976107966264223	0	0.263034405833794	0	0	0
"DRGX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRDX4"	3.1811025507538	6.09381367340273	6.87933818505624	6.39420543035888	7.24640808724638	6.13914201914569	5.31143045574974	3.33913738491959	6.65133876610593	7.17312743348066	5.95279947789994	1.98913900736823	4.34908214639109	3.38128337250378	4.4995270242151	4.58616424593091	4.5090623863619	4.2364926183813	4.68929916053589	2.06695024392463	4.23189316164533	4.22187708107703	1.62293035092018	5.35720008486005	4.39369076418745	4.03033607837096	3.88557436437143	5.268284666521	3.64500988439109	5.2502036564993	4.57893871309339	7.06414993912135	5.74872956650074	5.99118168140853	6.95872669831156	7.34855112557377	6.50937914891469	3.21256933885081	4.57470704641555	4.48349335128439	4.42155994490182	4.65133876610593	2.64846544302731	2.89917563048051	2.97819562968165	7.95297415593961	6.09845324630927	6.70680679859753	5.63575439127776	7.8635668293235	7.41869594960205
"DEFB110"	0	0.20163386116965	0	0	0.613531652917927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEFB121"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NMS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRTAP6.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CT47A11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BSPH1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4P4"	0	0	0	0	0.111031312388744	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR5H1"	0	0	0	0	0	0	0	0	0	0	0	1.29278174922785	0	0	0	0	0	0	0	0	0	0	1.59454854955035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CT47A2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEFB113"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR5I1"	0	0	0.0840642647884745	0	0.111031312388744	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CRYGB"	0	0	0	0	0	0	0	0	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEFB107A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4N5"	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR5D18"	0	0.0565835283663675	0	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR5K4"	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	2.34198574722862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR6P1"	0	0	0	0	0	0	0	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR14J1"	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176322772640463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR10C1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRTAP15.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR6Q1"	0	0	0	0	0.111031312388744	0	0	0	0.124328135002202	0.0840642647884745	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150559676575381	0
"LOC144776"	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR6K6"	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34482849699744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CSHL1"	0	0	0	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR10G8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82171021503467	0	0	2.15704371014558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRTAP9.9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR6X1"	0	0	0	0	0	0	1.44360665147561	1.6915341649192	0	0	0	0	0	0	0	0	0	0	5.44095219802964	0	1.55090066464752	1.44890095114513	0	0	0	1.23878685958712	3.31903981556254	0	0	0	0	0	0	0	0	0	0	0	0	1.38404980679516	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF5"	0	0.0143552929770701	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0
"KRTAP19.5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRTAP19.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PLAC1L"	0	0	0	0	0.0565835283663675	0	0	0	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR1A2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13750352374994	0	0	0	0	0	0	0	0	0
"KRTAP9.4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRTAP9.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR2V2"	0	0.0565835283663675	0	0	0	0.176322772640463	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRTAP19.8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF20"	0	0	0.0426443374084937	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4M1"	0	0	0.150559676575381	0	0	0.0976107966264223	1.43829285157915	0	0	0.0840642647884745	0	0	0	1.33913738491959	0	0	0	2.11769504266975	0	0	0	0	0	0.978195629681652	0	0	0	0	0	0	0	0	0	0	0.189033824390017	0	0	0	0	0	0	0	0.713695814843359	0	0	0	0	0	0	0	0
"C22orf42"	0	0	0	0	0	0	0	0	0	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29865831556452	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRAMEF16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MBD3L2"	0	0	0	0	0.137503523749935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEFB119"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR13F1"	1.54596836910529	0.111031312388744	0	0	0	0	2.12101540096137	2.41683974191283	0	0.0840642647884745	0	0	0	0	0	1.50080205305716	0	1.20789285164133	0	0	0	2.1243281350022	0	0	0	0	0	0	0	2.29865831556452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRR23B"	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	2.54843662469604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC642929"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0
"OR2D3"	0	0	0	0	0	0.0840642647884745	3.94860084749336	0	0	0	0	1.89141918684608	1.56559717585423	0	0	0	1.33913738491959	1.16992500144231	0	0	1.48542682717024	2.07724299893246	0	2.21723071622067	1.20163386116965	2.877744249949	0	1.31614574229336	0	3.37851162325373	2.16349873228288	0	0	0	0	0	0	0	2.26002565596146	2.4594316186373	1.22032995487956	3.14730669878029	0	2.29572302453997	1.36176835941915	0	0	0	0	0	0
"SAMD7"	0	0.0565835283663675	0.0840642647884745	0	0.0426443374084937	0	0	0	0	0.0285691521967709	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0	0	0.070389327891398	0.0285691521967709	0
"OR6N1"	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675
"LIPM"	1.70487196445635	0	0	0	0	0	1.58496250072116	1.20789285164133	0	0	0	3.47767732756531	3.06350294230616	0.933572638261024	1.08406426478847	0	0.963474123974886	4.31976242766925	2.51096191927738	2.21723071622067	1.70487196445635	2.59454854955035	0	2.15055967657538	2.74416109557041	2.87184364850932	0.910732661902913	2.49569516262407	1.65992455840238	0	0	0	0	0	0	0	0	0	1.75274859140713	2.24792751344359	0	3.29865831556452	2.47767732756531	0	0	0	0	0	0	0.263034405833794	0
"GUCA2B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CLRN2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BLID"	0	0.238786859587116	0.176322772640463	0.20163386116965	0.124328135002202	0.20163386116965	0	0	0	0.526068811667588	0.286881147788162	0	0	1.43295940727611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27500704749987	0.0976107966264223	0.454175893185802	0.298658315564515	0	0.250961573533219	0	0	0	0	0	0	0	0	0.0565835283663675	0	0.565597175854225	0.632268215499513	0.333423733725192	0.263034405833794
"DUSP21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97452931248388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C12orf12"	0	0.0285691521967709	0.0426443374084937	0	0.150559676575381	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	2.51853513898218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0
"OR9A4"	0	0	0.0840642647884745	0	0	0	0	0	0.070389327891398	0.0840642647884745	0	0	0	2.47508488294878	0	1.51601514700366	2.08406426478847	0	0	0	0	0	0	1.55581615506164	0	0	0	0	0	0	0	0.124328135002202	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0.189033824390017	0.150559676575381	0
"PWRN2"	0	0.0285691521967709	0.0143552929770701	0	0.0840642647884745	0	0	0	0	0	0	0	0	1.11769504266975	0	0	0	0	0	0	0	0	0	0	0	0	0	0.575312330687437	0.641546029087524	0	0	0	0	0	0	0	0	0	0	1.31614574229336	0	0	0	0	0	0	0	0.0143552929770701	0	0	0
"GPR112"	0	0.0426443374084937	0.0143552929770701	0.0565835283663675	0.111031312388744	0.0426443374084937	0	0	0	0	0.070389327891398	0	0	0	2.21723071622067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0	0.0143552929770701	0.0143552929770701	0	0	0.495695162624069	0	0	0.454175893185802	0	0	0.176322772640463	0	0.0143552929770701	0.0143552929770701	0.0426443374084937	0	0.0285691521967709	0.0285691521967709
"GPR101"	2.6959938131099	0.0285691521967709	0	0	0.0565835283663675	0	0	1.82374936030827	0	0	0	0	1.13093086982645	0	0	0	0	0	0	0	0	0	1.10433665981474	2.94110631094643	0	0	0	0	2.0496307677246	1.09761079662642	0	0	0	0	0	0	0	0	1.10433665981474	0	0.863938450423971	0	0	0.659924558402378	0	0	0.0565835283663675	0	0	0	0
"C16orf78"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100128554"	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124328135002202	0
"ACSM4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56559717585423	0.815575428862573	0	0.879705766282288	0	0.970853654340484	0.748461233004036	0	2.22032995487956	0.823749360308273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC200726"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DBX1"	0	0	0	0	0.16349873228288	0.214124805352847	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.839959587489532	0	0	0	0	0	0	0	0	1.37295209791183	0	0	0	1.59931779369823	0	0	0	0	0	0	3.71369581484336	0
"DEFA5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCDC105"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.970853654340484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.831877241191673	0	0	0	0	0	0	0	0	0	0	0
"C7orf71"	4.76606505147495	0	0	0	0.189033824390017	0	2.8094144442359	0	0	0	0	2.06004738366994	2.22650852980868	3.87479696589867	1.81147103052984	2.57773093149008	1.94860084749336	0	2.17632277264046	3.40599235967584	2.60644222813161	3.94204525991605	1.87184364850932	2.15704371014558	2.22342254993494	4.03386345186628	1.21412480535285	1.62760683812965	0	1.86789646399265	0	0	0	0	0	0	0	3.01792190799726	2.65992455840238	3.34340782229781	1.53605290024021	2.78659636189081	2.98185265328974	2.4594316186373	3.47638168756724	0	0	0	0	0	0
"OR2T3"	0	0	0	0	0.263034405833794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22032995487956	0	0	1.50080205305716	0	0	0	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C8orf71"	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MOGAT3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C3orf43"	0	0.0285691521967709	0	0.150559676575381	0.0976107966264223	0	0	0	0.0565835283663675	0	0	0.748461233004036	0	0	0	0	0	0.713695814843359	0	0	0	1.38404980679516	0	0.941106310946431	0	1.81966818349646	0	0.799087306074004	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0.748461233004036	0	0	0	0	0	0	0	0	0.070389327891398	0.0285691521967709
"GLYCAM1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28392177230762	0	0	0	5.18547014606694	0	0	2.15704371014558	0	3.1243281350022	0	0	2.799087306074	0	0	0	0	1.13093086982645	0	0.124328135002202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NXF2B"	0	0.0143552929770701	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22650852980868	0	0.0285691521967709	0
"IL17A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50589092972996	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4K14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GC"	0	0	0	0	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0
"LOC644669"	0	0	0.070389327891398	0	0.124328135002202	0.0426443374084937	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0.0285691521967709	0
"SLC38A8"	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0.0426443374084937
"GLTPD2"	2.65306001710456	0.0976107966264223	0.070389327891398	0.0565835283663675	0	0	0	4.25247621413522	0.0565835283663675	0.20163386116965	0	3.81249822533356	2.25701061820602	2.36737106564853	3.26753579806873	2.60169651648096	3.83187724119167	3.41683974191283	4.72301239639237	4.36946648365072	0	4.04614178164472	2.69376571221778	3.91552090075196	2.25398926623079	2.22342254993494	1.23266075679027	0	1.42223300068305	3.95326523901484	4.00629802390037	0	0	0	0	0	0	1.29278174922785	2.69376571221778	3.47508488294878	2.62058641045188	2.47248777146274	4.01077983875324	0.956056652412403	2.81352468929781	0.0976107966264223	0.0840642647884745	0	0.0840642647884745	0	0
"FLJ43950"	0	0.0285691521967709	0.0143552929770701	0.0143552929770701	0.111031312388744	0.0143552929770701	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95977015521147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0
"GNAT1"	0	0.111031312388744	0.0565835283663675	0.0285691521967709	0.214124805352847	0.55581615506164	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	0	2.12101540096137	0	0	0	0	0	0	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0.0840642647884745	0	0	0.111031312388744	0.0285691521967709
"CYP26C1"	0	0.20163386116965	0.356143810225275	0.070389327891398	0.150559676575381	0.0565835283663675	0	0	0.0426443374084937	0.070389327891398	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0.124328135002202	0	0.0840642647884745	0.070389327891398	0.070389327891398	0	0	0	0	0	0	0	0	0.0426443374084937	0.0976107966264223	0.0565835283663675	0.111031312388744	0.0426443374084937	0.124328135002202
"DNAH8"	0	0.0565835283663675	0.16349873228288	0.16349873228288	0.16349873228288	0.0143552929770701	0	0	0.0285691521967709	0.070389327891398	0.0285691521967709	0	0	0.613531652917927	0.137503523749935	0	0.333423733725192	0	1.26303440583379	0.111031312388744	0	0.124328135002202	0	0.27500704749987	0.20163386116965	0.941106310946431	0.111031312388744	0	0.137503523749935	0	0	0.111031312388744	0.855989697308481	0.321928094887362	0.298658315564515	0.53605290024021	0.0285691521967709	0.124328135002202	0	0	0.111031312388744	0.238786859587116	0	0.150559676575381	0.722466024471091	0.070389327891398	0.250961573533219	0.0285691521967709	0.070389327891398	0.070389327891398	0.0426443374084937
"C3orf16"	0	0	0.0285691521967709	0	0.124328135002202	0	0	0.871843648509318	0	0	0.0285691521967709	0	0	0	0	0	0	0.963474123974886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143552929770701	0	0	0	0	0	0	0	0	1.46988597627446	0	0	0	0.0143552929770701	0	0	0	0.137503523749935	0.0285691521967709
